Chiral indice n,Chiral indice m,Initial atomic coordinate u,Initial atomic coordinate v,Initial atomic coordinate w,Calculated atomic coordinates u',Calculated atomic coordinates v',Calculated atomic coordinates w'
3,1,0.470355,0.257866,0.3155,0.476696,0.239962,0.316373
3,1,0.534031,0.290165,0.405243,0.543931,0.27459,0.405442
3,1,0.24301,0.424391,0.353961,0.22811,0.42237,0.353687
3,1,0.235864,0.366019,0.443705,0.21931,0.358527,0.442351
3,1,0.300826,0.550669,0.507807,0.27914,0.555719,0.50759
3,1,0.265092,0.487157,0.597551,0.237903,0.483879,0.596337
3,1,0.696244,0.751243,0.546269,0.706416,0.770935,0.547346
3,1,0.648228,0.763458,0.636013,0.650028,0.77941,0.636027
3,1,0.755932,0.684567,0.700115,0.767984,0.695844,0.701163
3,1,0.732854,0.724426,0.789859,0.740808,0.736904,0.789735
3,1,0.734908,0.512843,0.430884,0.76046,0.51884,0.432119
3,1,0.75699,0.575609,0.520628,0.777932,0.585297,0.520882
3,1,0.351772,0.236542,0.469346,0.345355,0.221578,0.469496
3,1,0.408402,0.239639,0.55909,0.40088,0.220949,0.558651
3,1,0.267146,0.275574,0.623192,0.245047,0.257499,0.623074
3,1,0.303756,0.248757,0.712936,0.283279,0.225421,0.711887
3,1,0.40427,0.665341,0.661654,0.386812,0.677496,0.66211
3,1,0.348135,0.611237,0.751397,0.325138,0.616354,0.750882
3,1,0.529645,0.742134,0.8155,0.523304,0.760038,0.816373
3,1,0.465969,0.709835,0.905243,0.456069,0.72541,0.905442
3,1,0.764136,0.633981,0.943705,0.78069,0.641473,0.942351
3,1,0.651865,0.388763,0.584731,0.662563,0.381101,0.585676
3,1,0.699174,0.449331,0.674474,0.712211,0.443425,0.674486
3,1,0.534031,0.290165,0.738577,0.532457,0.267534,0.738691
3,1,0.59573,0.334659,0.82832,0.601573,0.314933,0.827159
3,1,0.235864,0.366019,0.777038,0.212606,0.352715,0.777407
3,1,0.244068,0.315433,0.866782,0.224287,0.299455,0.866505
3,1,0.265092,0.487157,0.930884,0.23954,0.48116,0.932119
3,1,0.648228,0.763458,0.969346,0.654645,0.778422,0.969496
3,1,0.75699,0.575609,0.853961,0.77189,0.57763,0.853688
3,1,0.408402,0.239639,0.892423,0.400682,0.217438,0.892936
3,1,0.470355,0.257866,0.982166,0.470821,0.236035,0.98165
3,2,0.637257,0.791312,0.032917,0.636717,0.803969,0.032929
3,2,0.403783,0.690165,0.041689,0.393472,0.694676,0.041784
3,2,0.31966,0.608137,0.111865,0.30593,0.607015,0.112105
3,2,0.743096,0.760817,0.094321,0.753137,0.775437,0.094168
3,2,0.677708,0.788935,0.164496,0.682379,0.804355,0.164358
3,2,0.766249,0.735843,0.2259,0.777945,0.749432,0.225798
3,2,0.713311,0.778677,0.296075,0.720745,0.794402,0.296029
3,2,0.549619,0.276071,0.006602,0.555071,0.269279,0.006501
3,2,0.233751,0.264157,0.059233,0.219019,0.246063,0.059347
3,2,0.209389,0.3741,0.120637,0.19467,0.363701,0.120952
3,2,0.21786,0.295564,0.190812,0.205895,0.280628,0.191151
3,2,0.450381,0.723929,0.173268,0.445071,0.732091,0.173231
3,2,0.359809,0.651213,0.243444,0.348764,0.654129,0.243503
3,2,0.498332,0.751585,0.304847,0.495486,0.763508,0.304887
3,2,0.403783,0.690165,0.375023,0.39409,0.694968,0.375015
3,2,0.78214,0.704436,0.357479,0.797217,0.718068,0.357196
3,2,0.743096,0.760817,0.427654,0.754694,0.777448,0.427477
3,2,0.790335,0.667452,0.489058,0.807952,0.681054,0.489132
3,2,0.766249,0.735843,0.559233,0.780981,0.753937,0.559347
3,2,0.74492,0.485609,0.015373,0.75736,0.487774,0.015348
3,2,0.782959,0.580915,0.085549,0.795642,0.588879,0.085488
3,2,0.406938,0.214257,0.068005,0.402862,0.199315,0.067847
3,2,0.501668,0.248415,0.138181,0.505401,0.236223,0.137935
3,2,0.362743,0.208688,0.199584,0.358686,0.192911,0.199771
3,2,0.453671,0.227621,0.269759,0.458173,0.215511,0.269828
3,2,0.217041,0.419085,0.252216,0.204773,0.412301,0.252384
3,2,0.209665,0.332548,0.322391,0.198094,0.319888,0.322493
3,2,0.232411,0.466278,0.383795,0.219043,0.460817,0.383849
3,2,0.209389,0.3741,0.45397,0.196708,0.362862,0.454006
3,2,0.546329,0.772379,0.436426,0.546758,0.784127,0.436204
3,2,0.450381,0.723929,0.506602,0.444929,0.730721,0.506501
3,2,0.593062,0.785743,0.568005,0.597138,0.800685,0.567847
3,2,0.498332,0.751585,0.638181,0.494599,0.763777,0.637935
3,2,0.78214,0.704436,0.690812,0.794105,0.719372,0.691151
3,2,0.790335,0.667452,0.822391,0.801906,0.680112,0.822493
3,2,0.71557,0.437889,0.146952,0.72519,0.436767,0.146746
3,2,0.767589,0.533722,0.217128,0.781561,0.539864,0.216971
3,2,0.68034,0.391863,0.278531,0.693294,0.389132,0.27849
3,2,0.74492,0.485609,0.348707,0.763292,0.491718,0.348524
3,2,0.322292,0.211065,0.331163,0.318833,0.197217,0.331324
3,2,0.406938,0.214257,0.401338,0.411354,0.203804,0.401423
3,2,0.286689,0.221323,0.462742,0.280845,0.207219,0.462711
3,2,0.362743,0.208688,0.532917,0.363282,0.196031,0.532929
3,2,0.25508,0.514391,0.515373,0.242639,0.512226,0.515348
3,2,0.217041,0.419085,0.585549,0.204358,0.411121,0.585488
3,2,0.28443,0.562111,0.646952,0.27481,0.563233,0.646746
3,2,0.232411,0.466278,0.717128,0.218439,0.460136,0.716971
3,2,0.637257,0.791312,0.699584,0.641314,0.807089,0.699771
3,2,0.546329,0.772379,0.769759,0.541827,0.784489,0.769828
3,2,0.677708,0.788935,0.831163,0.681167,0.802783,0.831324
3,2,0.593062,0.785743,0.901338,0.588646,0.796196,0.901423
3,2,0.640191,0.348787,0.41011,0.653342,0.346247,0.410181
3,2,0.71557,0.437889,0.480286,0.732212,0.442763,0.480441
3,2,0.596217,0.309835,0.541689,0.606528,0.305324,0.541784
3,2,0.68034,0.391863,0.611865,0.69407,0.392986,0.612105
3,2,0.256904,0.239183,0.594321,0.246863,0.224563,0.594168
3,2,0.322292,0.211065,0.664496,0.317621,0.195645,0.664358
3,2,0.233751,0.264157,0.7259,0.222055,0.250569,0.725798
3,2,0.286689,0.221323,0.796075,0.279255,0.205597,0.796029
3,2,0.31966,0.608137,0.778531,0.306706,0.610868,0.77849
3,2,0.25508,0.514391,0.848707,0.236708,0.508282,0.848524
3,2,0.359809,0.651213,0.91011,0.346659,0.653753,0.910181
3,2,0.28443,0.562111,0.980286,0.267788,0.557237,0.980441
3,2,0.713311,0.778677,0.962742,0.719155,0.792781,0.962711
3,2,0.790611,0.6259,0.620637,0.805331,0.636299,0.620952
3,2,0.549619,0.276071,0.673268,0.554928,0.267909,0.673231
3,2,0.640191,0.348787,0.743444,0.651236,0.345871,0.743503
3,2,0.501668,0.248415,0.804847,0.504514,0.236492,0.804887
3,2,0.596217,0.309835,0.875023,0.60591,0.305032,0.875015
3,2,0.21786,0.295564,0.857479,0.202783,0.281932,0.857196
3,2,0.256904,0.239183,0.927654,0.245306,0.222552,0.927477
3,2,0.209665,0.332548,0.989058,0.192048,0.318946,0.989132
3,2,0.782959,0.580915,0.752216,0.795227,0.587699,0.752384
3,2,0.767589,0.533722,0.883795,0.780957,0.539183,0.883849
3,2,0.790611,0.6259,0.95397,0.803292,0.637138,0.954006
3,2,0.453671,0.227621,0.936426,0.453242,0.215873,0.936204
4,1,0.798626,0.65477,0.039988,0.812277,0.658326,0.040916
4,1,0.794352,0.691116,0.111416,0.807185,0.697932,0.111388
4,1,0.212784,0.427407,0.063797,0.198483,0.426673,0.063134
4,1,0.560308,0.783502,0.016178,0.565293,0.801366,0.016747
4,1,0.516033,0.766319,0.087607,0.518262,0.783893,0.087303
4,1,0.681264,0.79623,0.135226,0.690505,0.811887,0.135963
4,1,0.643856,0.798626,0.206655,0.653283,0.815991,0.206572
4,1,0.723194,0.439692,0.016178,0.733703,0.431654,0.015953
4,1,0.356144,0.201374,0.039988,0.347059,0.184129,0.039263
4,1,0.233681,0.249714,0.087607,0.220388,0.238728,0.087568
4,1,0.256813,0.228213,0.159036,0.243065,0.215492,0.158191
4,1,0.308884,0.603235,0.111416,0.298531,0.612095,0.111617
4,1,0.276806,0.560308,0.182845,0.265631,0.568083,0.182279
4,1,0.427407,0.714623,0.230464,0.424498,0.730007,0.230823
4,1,0.385034,0.681264,0.301893,0.38078,0.69492,0.301449
4,1,0.766319,0.750286,0.254274,0.779609,0.761253,0.255146
4,1,0.743187,0.771787,0.325702,0.756305,0.783672,0.325794
4,1,0.798626,0.65477,0.373321,0.812277,0.658325,0.374249
4,1,0.794352,0.691116,0.44475,0.807184,0.697932,0.444721
4,1,0.572593,0.285377,0.063797,0.575221,0.270349,0.064318
4,1,0.614966,0.318736,0.135226,0.619361,0.306347,0.134796
4,1,0.439692,0.216498,0.182845,0.434731,0.199076,0.183122
4,1,0.483967,0.233681,0.254274,0.48176,0.214825,0.253602
4,1,0.201374,0.34523,0.206655,0.18762,0.340879,0.20662
4,1,0.205648,0.308884,0.278083,0.194081,0.302779,0.277111
4,1,0.228213,0.471401,0.325702,0.216119,0.472308,0.325774
4,1,0.212784,0.427407,0.397131,0.198483,0.426673,0.396467
4,1,0.560308,0.783502,0.349512,0.565293,0.801366,0.350081
4,1,0.516033,0.766319,0.42094,0.518261,0.783893,0.420636
4,1,0.681264,0.79623,0.468559,0.690505,0.811887,0.469296
4,1,0.643856,0.798626,0.539988,0.653282,0.815991,0.539906
4,1,0.771787,0.528599,0.159036,0.784977,0.528527,0.159828
4,1,0.787216,0.572593,0.230464,0.80108,0.573294,0.230421
4,1,0.691116,0.396765,0.278083,0.70063,0.387602,0.278662
4,1,0.723194,0.439692,0.349512,0.733703,0.431653,0.349287
4,1,0.318736,0.20377,0.301893,0.309563,0.187916,0.301969
4,1,0.356144,0.201374,0.373321,0.347059,0.184129,0.372596
4,1,0.233681,0.249714,0.42094,0.220388,0.238728,0.420901
4,1,0.256813,0.228213,0.492369,0.243066,0.215492,0.491525
4,1,0.308884,0.603235,0.44475,0.298531,0.612095,0.444951
4,1,0.276806,0.560308,0.516178,0.265631,0.568083,0.515612
4,1,0.427407,0.714623,0.563797,0.424498,0.730007,0.564156
4,1,0.385034,0.681264,0.635226,0.38078,0.69492,0.634783
4,1,0.766319,0.750286,0.587607,0.779608,0.761253,0.588479
4,1,0.743187,0.771787,0.659036,0.756305,0.783671,0.659127
4,1,0.798626,0.65477,0.706655,0.812277,0.658326,0.707583
4,1,0.794352,0.691116,0.778083,0.807185,0.697932,0.778054
4,1,0.572593,0.285377,0.397131,0.575221,0.270348,0.397652
4,1,0.614966,0.318736,0.468559,0.619361,0.306346,0.468129
4,1,0.439692,0.216498,0.516178,0.434732,0.199076,0.516456
4,1,0.483967,0.233681,0.587607,0.48176,0.214825,0.586935
4,1,0.201374,0.34523,0.539988,0.18762,0.340879,0.539953
4,1,0.205648,0.308884,0.611416,0.194081,0.30278,0.610445
4,1,0.228213,0.471401,0.659036,0.216119,0.472308,0.659108
4,1,0.212784,0.427407,0.730464,0.198483,0.426673,0.7298
4,1,0.560308,0.783502,0.682845,0.565293,0.801366,0.683414
4,1,0.516033,0.766319,0.754274,0.518261,0.783893,0.75397
4,1,0.681264,0.79623,0.801893,0.690505,0.811887,0.80263
4,1,0.643856,0.798626,0.873321,0.653282,0.81599,0.873239
4,1,0.771787,0.528599,0.492369,0.784977,0.528527,0.493161
4,1,0.787216,0.572593,0.563797,0.80108,0.573293,0.563754
4,1,0.691116,0.396765,0.611416,0.70063,0.387602,0.611996
4,1,0.723194,0.439692,0.682845,0.733703,0.431653,0.68262
4,1,0.318736,0.20377,0.635226,0.309563,0.187917,0.635302
4,1,0.356144,0.201374,0.706655,0.347059,0.184129,0.705929
4,1,0.233681,0.249714,0.754274,0.220388,0.238728,0.754234
4,1,0.256813,0.228213,0.825702,0.243066,0.215492,0.824858
4,1,0.308884,0.603235,0.778083,0.298531,0.612095,0.778284
4,1,0.276806,0.560308,0.849512,0.265631,0.568083,0.848945
4,1,0.427407,0.714623,0.897131,0.424498,0.730006,0.89749
4,1,0.385034,0.681264,0.968559,0.38078,0.694919,0.968116
4,1,0.766319,0.750286,0.92094,0.779609,0.761253,0.921812
4,1,0.743187,0.771787,0.992369,0.756305,0.783672,0.99246
4,1,0.572593,0.285377,0.730464,0.575221,0.270349,0.730985
4,1,0.614966,0.318736,0.801893,0.619361,0.306347,0.801462
4,1,0.439692,0.216498,0.849512,0.434732,0.199076,0.849789
4,1,0.483967,0.233681,0.92094,0.48176,0.214825,0.920268
4,1,0.201374,0.34523,0.873321,0.18762,0.340879,0.873286
4,1,0.205648,0.308884,0.94475,0.194081,0.302779,0.943778
4,1,0.228213,0.471401,0.992369,0.216119,0.472308,0.992441
4,1,0.771787,0.528599,0.825702,0.784977,0.528527,0.826495
4,1,0.787216,0.572593,0.897131,0.80108,0.573293,0.897087
4,1,0.691116,0.396765,0.94475,0.700631,0.387602,0.945329
4,1,0.318736,0.20377,0.968559,0.309563,0.187917,0.968636
4,2,0.818516,0.679132,0.068071,0.831432,0.686446,0.068597
4,2,0.805424,0.733468,0.187119,0.818275,0.743529,0.186857
4,2,0.236666,0.524781,0.044262,0.225916,0.524519,0.043942
4,2,0.548504,0.797602,0.11569,0.55049,0.808905,0.115307
4,2,0.68065,0.818379,0.210928,0.687882,0.83037,0.211197
4,2,0.617524,0.815911,0.329976,0.62163,0.827636,0.329481
4,2,0.818516,0.679132,0.401404,0.830527,0.686314,0.401001
4,2,0.181484,0.320868,0.068071,0.168569,0.313554,0.068597
4,2,0.194576,0.266532,0.187119,0.181726,0.256471,0.186857
4,2,0.341126,0.660466,0.1395,0.33573,0.666125,0.140009
4,2,0.283467,0.595006,0.258547,0.276086,0.597625,0.258189
4,2,0.406751,0.717881,0.353785,0.40435,0.724498,0.35428
4,2,0.341126,0.660466,0.472833,0.33552,0.665535,0.472755
4,2,0.734718,0.804882,0.425214,0.745029,0.817994,0.425541
4,2,0.68065,0.818379,0.544262,0.688191,0.831602,0.543768
4,2,0.777017,0.776098,0.6395,0.788083,0.787117,0.63977
4,2,0.734718,0.804882,0.758547,0.74462,0.818039,0.758147
4,2,0.763334,0.475219,0.044262,0.774084,0.475481,0.043942
4,2,0.451496,0.202398,0.11569,0.44951,0.191095,0.115307
4,2,0.31935,0.181621,0.210928,0.312118,0.16963,0.211197
4,2,0.382476,0.184089,0.329976,0.37837,0.172363,0.329481
4,2,0.184363,0.384187,0.282357,0.172342,0.379864,0.28275
4,2,0.181484,0.320868,0.401404,0.169473,0.313686,0.401001
4,2,0.20307,0.453314,0.496642,0.191546,0.451036,0.497083
4,2,0.184363,0.384187,0.61569,0.172162,0.379033,0.615237
4,2,0.477052,0.764369,0.568071,0.476946,0.774451,0.568352
4,2,0.406751,0.717881,0.687119,0.403295,0.724069,0.686613
4,2,0.548504,0.797602,0.782357,0.551101,0.809031,0.782525
4,2,0.477052,0.764369,0.901404,0.476291,0.774033,0.900939
4,2,0.805424,0.733468,0.853785,0.818306,0.74349,0.854149
4,2,0.777017,0.776098,0.972833,0.787695,0.787174,0.972535
4,2,0.658874,0.339534,0.1395,0.66427,0.333875,0.140009
4,2,0.716533,0.404994,0.258547,0.723914,0.402376,0.258189
4,2,0.593249,0.282119,0.353785,0.59565,0.275502,0.35428
4,2,0.658874,0.339534,0.472833,0.66448,0.334465,0.472755
4,2,0.265282,0.195118,0.425214,0.254971,0.182006,0.425541
4,2,0.31935,0.181621,0.544262,0.311808,0.168398,0.543768
4,2,0.222983,0.223902,0.6395,0.211917,0.212882,0.63977
4,2,0.265282,0.195118,0.758547,0.25538,0.181961,0.758147
4,2,0.236666,0.524781,0.710928,0.226492,0.52466,0.711321
4,2,0.20307,0.453314,0.829976,0.191633,0.450293,0.829783
4,2,0.283467,0.595006,0.925214,0.276282,0.598218,0.925528
4,2,0.617524,0.815911,0.996642,0.621869,0.827591,0.996998
4,2,0.815637,0.615813,0.282357,0.827658,0.620136,0.28275
4,2,0.79693,0.546686,0.496642,0.808454,0.548964,0.497083
4,2,0.815637,0.615813,0.61569,0.827838,0.620968,0.615237
4,2,0.522948,0.235631,0.568071,0.523054,0.225549,0.568352
4,2,0.593249,0.282119,0.687119,0.596704,0.275931,0.686613
4,2,0.451496,0.202398,0.782357,0.448899,0.190969,0.782525
4,2,0.522948,0.235631,0.901404,0.523709,0.225967,0.900939
4,2,0.194576,0.266532,0.853785,0.181694,0.25651,0.854149
4,2,0.222983,0.223902,0.972833,0.212305,0.212826,0.972535
4,2,0.763334,0.475219,0.710928,0.773508,0.47534,0.711321
4,2,0.79693,0.546686,0.829976,0.808367,0.549706,0.829783
4,2,0.716533,0.404994,0.925214,0.723718,0.401781,0.925528
4,2,0.382476,0.184089,0.996642,0.378131,0.172409,0.996999
4,3,0.837462,0.697133,0.028817,0.846738,0.705715,0.029155
4,3,0.818309,0.760281,0.078367,0.825667,0.768864,0.078923
4,3,0.595393,0.829463,0.037826,0.595007,0.837903,0.038388
4,3,0.698333,0.837316,0.082871,0.701387,0.845584,0.083443
4,3,0.622642,0.835066,0.132421,0.620405,0.839401,0.132917
4,3,0.839027,0.673029,0.123412,0.846657,0.676577,0.123631
4,3,0.827065,0.740917,0.172962,0.831618,0.743802,0.173307
4,3,0.833465,0.719817,0.267556,0.834872,0.719244,0.267408
4,3,0.178986,0.43399,0.00179,0.166966,0.433431,0.001428
4,3,0.16185,0.352321,0.05134,0.145027,0.345791,0.050974
4,3,0.396844,0.728129,0.042331,0.392004,0.73275,0.042721
4,3,0.318789,0.657565,0.09188,0.308327,0.657504,0.092203
4,3,0.424606,0.748578,0.136925,0.41809,0.749982,0.137304
4,3,0.343744,0.682458,0.186475,0.333254,0.680317,0.186813
4,3,0.720939,0.833194,0.177466,0.722773,0.83738,0.177771
4,3,0.649007,0.838255,0.227016,0.647165,0.842441,0.227115
4,3,0.741954,0.826673,0.272061,0.743994,0.830405,0.271917
4,3,0.674298,0.839006,0.32161,0.67623,0.845414,0.321493
4,3,0.837462,0.697133,0.362151,0.843249,0.69801,0.361583
4,3,0.839027,0.673029,0.456745,0.851805,0.676139,0.456126
4,3,0.279061,0.166806,0.010799,0.268328,0.158256,0.010235
4,3,0.206004,0.206743,0.055844,0.19154,0.197577,0.055292
4,3,0.258046,0.173327,0.105394,0.244261,0.160287,0.104841
4,3,0.189397,0.462432,0.096385,0.173905,0.457925,0.096454
4,3,0.165163,0.378736,0.145935,0.147886,0.368933,0.145976
4,3,0.202045,0.491143,0.19098,0.188853,0.484912,0.191226
4,3,0.170889,0.406025,0.240529,0.157101,0.396106,0.240894
4,3,0.452911,0.767237,0.23152,0.446991,0.768093,0.231697
4,3,0.369825,0.706036,0.28107,0.362166,0.703963,0.281388
4,3,0.481555,0.78397,0.326115,0.479099,0.786301,0.326133
4,3,0.396844,0.728129,0.375664,0.393293,0.728694,0.375872
4,3,0.761225,0.817797,0.366655,0.767902,0.823311,0.366168
4,3,0.698333,0.837316,0.416205,0.705207,0.844251,0.415963
4,3,0.778614,0.806632,0.46125,0.790957,0.813527,0.460641
4,3,0.720939,0.833194,0.510799,0.731672,0.841744,0.510235
4,3,0.797955,0.508857,0.024313,0.803688,0.51235,0.024482
4,3,0.460964,0.188807,0.015304,0.455647,0.182789,0.014772
4,3,0.547089,0.232763,0.064853,0.544283,0.227861,0.064456
4,3,0.432542,0.178514,0.109898,0.424521,0.167834,0.109233
4,3,0.518445,0.21603,0.159448,0.512985,0.205154,0.158876
4,3,0.192741,0.22223,0.150439,0.175639,0.207778,0.150182
4,3,0.238775,0.182203,0.199989,0.2251,0.166578,0.199734
4,3,0.181691,0.239719,0.245034,0.166725,0.225,0.245184
4,3,0.221386,0.193368,0.294583,0.207823,0.175615,0.294794
4,3,0.216839,0.519919,0.285574,0.206572,0.513734,0.286013
4,3,0.178986,0.43399,0.335124,0.16871,0.425216,0.335682
4,3,0.233674,0.548551,0.380169,0.22767,0.544873,0.380507
4,3,0.189397,0.462432,0.429718,0.181227,0.455462,0.430106
4,3,0.510333,0.798657,0.420709,0.512335,0.802733,0.420582
4,3,0.424606,0.748578,0.470259,0.423944,0.750994,0.470136
4,3,0.539036,0.811193,0.515304,0.544353,0.817211,0.514772
4,3,0.452911,0.767237,0.564853,0.455717,0.77214,0.564456
4,3,0.793996,0.793257,0.555844,0.80846,0.802423,0.555292
4,3,0.741954,0.826673,0.605394,0.755739,0.839713,0.604841
4,3,0.807259,0.77777,0.650439,0.824361,0.792222,0.650182
4,3,0.761225,0.817797,0.699989,0.7749,0.833423,0.699734
4,3,0.727034,0.395438,0.069358,0.72853,0.393343,0.069192
4,3,0.783161,0.480081,0.118907,0.786311,0.479148,0.118908
4,3,0.704861,0.368462,0.163953,0.703149,0.360996,0.163471
4,3,0.766326,0.451449,0.213502,0.766225,0.444452,0.213336
4,3,0.404607,0.170537,0.204493,0.39472,0.154084,0.203959
4,3,0.489667,0.201343,0.254043,0.482451,0.184268,0.253707
4,3,0.377358,0.164934,0.299088,0.366307,0.143914,0.299034
4,3,0.460964,0.188807,0.348637,0.45518,0.170495,0.348663
4,3,0.172935,0.259083,0.339628,0.161204,0.24497,0.340097
4,3,0.206004,0.206743,0.389178,0.197336,0.191984,0.389703
4,3,0.166535,0.280183,0.434223,0.156687,0.268313,0.434661
4,3,0.192741,0.22223,0.483772,0.183915,0.208873,0.484359
4,3,0.252428,0.576834,0.474763,0.24782,0.57553,0.474832
4,3,0.202045,0.491143,0.524313,0.196312,0.48765,0.524481
4,3,0.272966,0.604562,0.569358,0.27147,0.606657,0.569191
4,3,0.216839,0.519919,0.618907,0.213689,0.520853,0.618908
4,3,0.567458,0.821486,0.609898,0.575479,0.832166,0.609233
4,3,0.481555,0.78397,0.659448,0.487015,0.794846,0.658877
4,3,0.595393,0.829463,0.704493,0.605281,0.845916,0.703959
4,3,0.510333,0.798657,0.754043,0.517549,0.815731,0.753707
4,3,0.818309,0.760281,0.745034,0.833274,0.774999,0.745184
4,3,0.778614,0.806632,0.794583,0.792177,0.824385,0.794794
4,3,0.827065,0.740917,0.839628,0.838796,0.75503,0.840097
4,3,0.793996,0.793257,0.889178,0.802664,0.808016,0.889703
4,3,0.83815,0.647679,0.218007,0.84059,0.644594,0.218031
4,3,0.681211,0.342435,0.258547,0.677597,0.329885,0.258171
4,3,0.747572,0.423166,0.308097,0.746176,0.414285,0.307773
4,3,0.656256,0.317542,0.353142,0.654284,0.304519,0.352976
4,3,0.727034,0.395438,0.402691,0.730452,0.388486,0.402298
4,3,0.350993,0.161745,0.393682,0.343475,0.143347,0.394128
4,3,0.432542,0.178514,0.443232,0.430586,0.164984,0.443698
4,3,0.325702,0.160994,0.488277,0.320556,0.146816,0.488861
4,3,0.404607,0.170537,0.537826,0.404993,0.162097,0.538388
4,3,0.162538,0.302867,0.528817,0.153262,0.294285,0.529155
4,3,0.181691,0.239719,0.578367,0.174333,0.231136,0.578923
4,3,0.160973,0.326971,0.623412,0.153343,0.323423,0.623631
4,3,0.172935,0.259083,0.672962,0.168382,0.256198,0.673308
4,3,0.295139,0.631538,0.663953,0.296851,0.639004,0.663472
4,3,0.233674,0.548551,0.713502,0.233775,0.555548,0.713336
4,3,0.318789,0.657565,0.758547,0.322403,0.670115,0.758171
4,3,0.252428,0.576834,0.808097,0.253824,0.585715,0.807773
4,3,0.622642,0.835066,0.799088,0.633693,0.856086,0.799034
4,3,0.539036,0.811193,0.848637,0.54482,0.829505,0.848663
4,3,0.649007,0.838255,0.893682,0.656525,0.856653,0.894128
4,3,0.567458,0.821486,0.943232,0.569414,0.835015,0.943698
4,3,0.833465,0.719817,0.934223,0.843313,0.731687,0.934661
4,3,0.807259,0.77777,0.983772,0.816084,0.791128,0.984359
4,3,0.834837,0.621264,0.312601,0.835695,0.616159,0.312218
4,3,0.829111,0.593975,0.407196,0.836068,0.591466,0.406522
4,3,0.630175,0.293964,0.447736,0.632769,0.285542,0.447819
4,3,0.704861,0.368462,0.497286,0.711513,0.364731,0.497261
4,3,0.603156,0.271871,0.542331,0.607996,0.26725,0.542721
4,3,0.681211,0.342435,0.59188,0.691673,0.342496,0.592203
4,3,0.301667,0.162684,0.582871,0.298613,0.154416,0.583443
